index,text,label,weight
1,Are,0,0.142857142857143
1,Are there,0,0.285714285714286
1,Are there really,0.2,0.428571428571429
1,Are there really that,0.2,0.571428571428571
1,Are there really that many,0.3,0.714285714285714
1,Are there really that many gay,0.9,0.857142857142857
1,Are there really that many gay people?!,1,1
2,my,0,0.0476190476190476
2,my african,0.2,0.0952380952380952
2,my african friend,0.2,0.142857142857143
2,my african friend asked,0.2,0.19047619047619
2,my african friend asked me,0.2,0.238095238095238
2,my african friend asked me if,0.2,0.285714285714286
2,my african friend asked me if he,0.2,0.333333333333333
2,my african friend asked me if he could,0.2,0.380952380952381
2,my african friend asked me if he could ask,0.2,0.428571428571429
2,my african friend asked me if he could ask for,0.2,0.476190476190476
2,my african friend asked me if he could ask for bob,0.2,0.523809523809524
2,my african friend asked me if he could ask for bob and,0.2,0.571428571428571
2,my african friend asked me if he could ask for bob and vegene,0.2,0.619047619047619
2,my african friend asked me if he could ask for bob and vegene i,0.2,0.666666666666667
2,my african friend asked me if he could ask for bob and vegene i told,0.2,0.714285714285714
2,my african friend asked me if he could ask for bob and vegene i told him,0.2,0.761904761904762
2,"my african friend asked me if he could ask for bob and vegene i told him ""u",0.3,0.80952380952381
2,"my african friend asked me if he could ask for bob and vegene i told him ""u better",0.5,0.857142857142857
2,"my african friend asked me if he could ask for bob and vegene i told him ""u better ask",0.5,0.904761904761905
2,"my african friend asked me if he could ask for bob and vegene i told him ""u better ask for",0.5,0.952380952380952
2,"my african friend asked me if he could ask for bob and vegene i told him ""u better ask for food""",1,1
3,How,0,0.125
3,How dark,0.1,0.25
3,How dark is,0.1,0.375
3,How dark is my,0.1,0.5
3,How dark is my humour?,0.4,0.625
3,How dark is my humour? It,0.4,0.75
3,How dark is my humour? It picks,0.8,0.875
3,How dark is my humour? It picks cotton.,1,1
4,What's,0,0.0555555555555556
4,What's the,0,0.111111111111111
4,What's the difference,0.3,0.166666666666667
4,What's the difference between,0.3,0.222222222222222
4,What's the difference between a,0.3,0.277777777777778
4,What's the difference between a black,0.5,0.333333333333333
4,What's the difference between a black man,0.8,0.388888888888889
4,What's the difference between a black man and,0.8,0.444444444444444
4,What's the difference between a black man and a,0.8,0.5
4,What's the difference between a black man and a pizza?,0.9,0.555555555555556
4,What's the difference between a black man and a pizza? A,0.9,0.611111111111111
